Mailing ZIP Code,US Congressional District,Gender,Perm ZIP Code,Status Code,Precinct ID,_merge,Age,Age at Registration,Registration Year
78148-2027,20.0,1,1,1,1,1,1,1,1
78624-0000,28.0,1,1,1,1,1,1,1,1
09534,20.0,1,1,1,1,1,1,1,1
78224-8541,6.0,1,1,1,1,1,1,1,1
78224-8541,23.0,1,1,1,1,1,1,1,1
78224-8541,27.0,1,1,1,1,1,1,1,1
78224-8541,31.0,1,1,1,1,1,1,1,1
78224-8541,35.0,1,1,1,1,1,1,1,1
78382-0000,3.0,1,1,1,1,1,1,1,1
78382-0000,5.0,10,10,10,10,10,10,10,10
78382-0000,6.0,1,1,1,1,1,1,1,1
78382-0000,12.0,1,1,1,1,1,1,1,1
78382-0000,17.0,1,1,1,1,1,1,1,1
78382-0000,18.0,1,1,1,1,1,1,1,1
78382-0000,20.0,1,1,1,1,1,1,1,1
78382-0000,24.0,4,4,4,4,4,4,4,4
78382-0000,26.0,1,1,1,1,1,1,1,1
78382-0000,30.0,11,11,11,11,11,11,11,11
78382-0000,32.0,22,22,22,22,22,22,22,22
78382-0000,33.0,1,1,1,1,1,1,1,1
75214-0000,21.0,1,1,1,1,1,1,1,1
78246-0293,7.0,1,1,1,1,1,1,1,1
78246-0293,21.0,1,1,1,1,1,1,1,1
78246-0293,22.0,1,1,1,1,1,1,1,1
78246-0293,25.0,1,1,1,1,1,1,1,1
92866,22.0,1,1,1,1,1,1,1,1
92866,23.0,1,1,1,1,1,1,1,1
92866,28.0,2,2,2,2,2,2,2,2
94061,35.0,1,1,1,1,1,1,1,1
96808,23.0,1,1,1,1,1,1,1,1
22125-0000,35.0,2,2,2,2,2,2,2,2
17201,21.0,1,1,1,1,1,1,1,1
78278-2215,23.0,1,1,1,1,1,1,1,1
10805,21.0,2,2,2,2,2,2,2,2
78217-1232,19.0,1,1,1,1,1,1,1,1
78217-1232,20.0,1,1,1,1,1,1,1,1
33028-0000,2.0,1,1,1,1,1,1,1,1
33028-0000,6.0,1,1,1,1,1,1,1,1
33028-0000,7.0,1,1,1,1,1,1,1,1
33028-0000,11.0,4,4,4,4,4,4,4,4
33028-0000,13.0,1,1,1,1,1,1,1,1
33028-0000,16.0,6,6,6,6,6,6,6,6
33028-0000,19.0,1,1,1,1,1,1,1,1
33028-0000,20.0,1,1,1,1,1,1,1,1
33028-0000,23.0,16,16,16,16,16,16,16,16
33028-0000,26.0,1,1,1,1,1,1,1,1
79845,23.0,1,1,1,1,1,1,1,1
87501-0000,23.0,1,1,1,1,1,1,1,1
78169,35.0,1,1,1,1,1,1,1,1
78223-4730,20.0,1,1,1,1,1,1,1,1
78250-4487,23.0,1,1,1,1,1,1,1,1
96734-3529,28.0,2,2,2,2,2,2,2,2
78109-3634,2.0,1,1,1,1,1,1,1,1
78109-3634,4.0,1,1,1,1,1,1,1,1
78109-3634,15.0,1,1,1,1,1,1,1,1
78109-3634,21.0,1,1,1,1,1,1,1,1
28326-0000,20.0,1,1,1,1,1,1,1,1
78251-3272,21.0,1,1,1,1,1,1,1,1
78278-1276,35.0,1,1,1,1,1,1,1,1
09123-0008,35.0,1,1,1,1,1,1,1,1
78212-5320,21.0,1,1,1,1,1,1,1,1
78070-4912,35.0,1,1,1,1,1,1,1,1
78244-1175,20.0,1,1,1,1,1,1,1,1
96929-3047,20.0,1,1,1,1,1,1,1,1
78242-2337,21.0,1,1,1,1,1,1,1,1
54452,28.0,2,2,2,2,2,2,2,2
78101-0254,20.0,1,1,1,1,1,1,1,1
78253-5452,3.0,1,1,1,1,1,1,1,1
78253-5452,6.0,1,1,1,1,1,1,1,1
78253-5452,14.0,2,2,2,2,2,2,2,2
78253-5452,21.0,1,1,1,1,1,1,1,1
78253-5452,27.0,1,1,1,1,1,1,1,1
08048,21.0,1,1,1,1,1,1,1,1
78212-5538,35.0,1,1,1,1,1,1,1,1
78218-9661,15.0,1,1,1,1,1,1,1,1
