Precinct ID,Number of Voters
517586,2891
602272,2891
620655,2890
950203,2890
950173,2889
950319,2888
511493,2887
596592,2885
941881,2884
596556,2884
582577,2884
610185,2884
598495,2884
993105,2883
547190,2883
950552,2883
582409,2882
563192,2881
565093,2880
574893,2879
511545,2879
565196,2879
555332,2878
622534,2878
610242,2875
551236,2874
620740,2873
620717,2873
600395,2873
941862,2872
942005,2870
950279,2870
567077,2869
525544,2868
567070,2867
573002,2867
950206,2867
531430,2867
606393,2867
555213,2867
588701,2866
620666,2865
578760,2863
950160,2863
950188,2863
576711,2862
582616,2862
602301,2861
588505,2861
565161,2861
541455,2858
531404,2857
610344,2855
531478,2854
622591,2853
596560,2853
600478,2852
1064900,2851
620617,2851
507652,2851
533613,2851
551252,2850
608372,2850
511477,2849
950240,2849
559119,2848
606353,2848
555280,2848
598500,2847
576799,2847
533552,2847
622519,2846
1001349,2846
533639,2844
606336,2844
574961,2843
565117,2841
608194,2841
513571,2841
533632,2838
608373,2837
507681,2837
543537,2836
561317,2835
517535,2834
586542,2834
620660,2833
942028,2832
620709,2830
574950,2829
555217,2829
941940,2825
574780,2825
588560,2824
561211,2822
950249,2821
610183,2821
511508,2821
563289,2820
582445,2818
1064953,2817
495970,2817
1064955,2817
541405,2816
574847,2815
541424,2814
523518,2814
606448,2814
533615,2814
543539,2813
668188,2813
608269,2813
563224,2812
533549,2811
565076,2811
582544,2811
622555,2811
523485,2808
511504,2808
633196,2807
582599,2807
582446,2805
950096,2805
549245,2805
620687,2804
572927,2801
572812,2800
565208,2799
941871,2799
561375,2799
572892,2798
578697,2797
491997,2797
491948,2796
573045,2796
549152,2794
533408,2793
551174,2792
565155,2792
950089,2791
541592,2790
559172,2790
574894,2790
633047,2789
513564,2789
484126,2788
991457,2788
513580,2788
950741,2786
950229,2785
588511,2784
950088,2784
533341,2782
942388,2781
523465,2780
602266,2779
950320,2779
484109,2777
533410,2777
523431,2774
565040,2773
608240,2772
555526,2772
511482,2771
574888,2770
610239,2769
608376,2768
565056,2768
622695,2767
942072,2767
537328,2766
588494,2765
950437,2764
602359,2764
586603,2763
622506,2762
942362,2760
942019,2760
555442,2760
588623,2760
573043,2760
565098,2760
559150,2759
541364,2759
622670,2758
572801,2758
991466,2757
551144,2757
588617,2755
541623,2754
511588,2754
541425,2754
596587,2753
484196,2753
1064968,2752
525542,2751
942247,2751
606346,2750
484120,2749
533649,2749
491998,2748
541621,2748
555421,2747
586534,2746
950735,2744
1064990,2743
572882,2743
622665,2743
598448,2741
582627,2741
541469,2740
941960,2740
572792,2739
511575,2739
574843,2737
555470,2736
549231,2736
547212,2735
511526,2734
602419,2734
602435,2734
567115,2734
533417,2734
523508,2734
555377,2733
941874,2732
515595,2731
511520,2731
531432,2728
610227,2727
950311,2727
543399,2725
600428,2724
495978,2722
586651,2720
561229,2720
610109,2718
719823,2717
547185,2717
942017,2716
941877,2716
950542,2716
622705,2716
533393,2714
622669,2714
551153,2714
576712,2714
602371,2712
561352,2711
484203,2710
633173,2710
565100,2710
582469,2709
495903,2709
950230,2708
942401,2706
555180,2706
602420,2705
578638,2705
586689,2705
689960,2704
692303,2704
602383,2701
541537,2701
950430,2700
606434,2698
942269,2698
950112,2698
578743,2697
523459,2697
950906,2696
566987,2696
594735,2695
600437,2694
600468,2694
563337,2693
576818,2693
942277,2693
555390,2692
578573,2691
507648,2690
567063,2689
543381,2686
941913,2685
539427,2685
679836,2684
555207,2684
950449,2684
942033,2683
541494,2681
610192,2680
633144,2679
555288,2679
610092,2678
572950,2678
555494,2677
942071,2677
606345,2676
533381,2674
942416,2674
594636,2673
950338,2672
549153,2671
578601,2670
567056,2670
574763,2669
559184,2669
588496,2669
941944,2668
517637,2666
602270,2666
608252,2664
567034,2664
551201,2664
567027,2664
531471,2664
610369,2664
1064960,2664
513601,2661
600382,2661
576762,2660
594794,2659
588550,2659
620715,2659
950447,2658
950137,2658
495905,2657
555415,2657
632982,2656
576781,2656
941774,2656
606414,2655
993107,2655
574859,2655
602394,2655
525500,2653
942420,2653
950904,2653
942263,2652
549157,2652
533614,2652
594819,2652
594817,2652
495926,2651
531424,2651
531486,2651
563258,2651
950187,2651
602388,2650
950042,2650
531438,2649
632998,2649
565048,2647
602408,2646
598585,2646
515552,2646
563178,2644
537354,2643
543431,2642
541612,2641
573003,2641
596549,2640
950116,2638
942048,2637
608237,2635
525485,2635
574973,2635
950681,2634
602429,2634
950429,2633
570773,2633
517583,2633
565104,2632
1064944,2632
942075,2632
598445,2631
701646,2631
602344,2631
533533,2631
555420,2630
549184,2628
573016,2628
559125,2626
572964,2626
608315,2626
620615,2626
594774,2625
633006,2625
578803,2624
515599,2624
565176,2623
600445,2621
565102,2620
941765,2619
565064,2619
525479,2618
602287,2618
533559,2615
582546,2615
515556,2614
541466,2614
555175,2614
942270,2610
633149,2610
701645,2610
555250,2608
517556,2608
555381,2607
594757,2606
576723,2605
565029,2605
610221,2604
588434,2603
523516,2603
588445,2602
531418,2602
993100,2601
941775,2601
950244,2600
572791,2600
622566,2600
491896,2600
484140,2600
610275,2599
608361,2598
484119,2597
517614,2597
576713,2597
596607,2596
541415,2596
574837,2596
576862,2594
620760,2593
511582,2591
950159,2591
600501,2591
608394,2590
565034,2589
594740,2587
563120,2587
563158,2587
620612,2586
950258,2585
563210,2585
941764,2585
559121,2584
950194,2583
531485,2583
610248,2582
543517,2582
950051,2581
942276,2581
610173,2581
574838,2580
511586,2580
573022,2579
547194,2578
950067,2578
578584,2578
491932,2577
573018,2577
598431,2576
598520,2575
606312,2575
950541,2575
555503,2574
950245,2574
567042,2571
555533,2571
555210,2570
596562,2570
941984,2569
620653,2568
941957,2567
620587,2565
1064911,2565
578659,2565
511511,2564
608212,2564
572922,2564
622597,2563
588585,2563
950895,2562
511509,2561
578726,2559
950360,2558
517616,2558
555246,2557
525531,2557
563278,2556
578632,2556
1064980,2556
606441,2556
950459,2555
515596,2554
513617,2554
713907,2554
950315,2553
941773,2552
517563,2550
555512,2550
576812,2550
491900,2549
555464,2548
578655,2546
563137,2546
559136,2546
565132,2545
608393,2543
1001397,2543
